Round,Date,Team 1,FT,HT,Team 2
?,(Fri) 26 Jul 2019 (W30),SK Rapid Wien (1),0-2,?,FC RB Salzburg (1)
?,(Sat) 27 Jul 2019 (W30),FC Admira Wacker Mödling (1),0-3,?,Wolfsberger AC (1)
?,(Sat) 27 Jul 2019 (W30),WSG Tirol (1),3-1,?,FK Austria Wien (1)
?,(Sun) 28 Jul 2019 (W30),LASK Linz (1),2-0,?,SCR Altach (1)
?,(Sun) 28 Jul 2019 (W30),SV Mattersburg (1),2-1,?,TSV Hartberg (1)
?,(Sun) 28 Jul 2019 (W30),SK Sturm Graz (1),3-0,?,SKN St. Pölten (1)
?,(Sat) 3 Aug 2019 (W31),SCR Altach (2),3-2,?,WSG Tirol (2)
?,(Sat) 3 Aug 2019 (W31),FK Austria Wien (2),0-3,?,LASK Linz (2)
?,(Sat) 3 Aug 2019 (W31),TSV Hartberg (2),4-1,?,FC Admira Wacker Mödling (2)
?,(Sun) 4 Aug 2019 (W31),Wolfsberger AC (2),0-1,?,SK Sturm Graz (2)
?,(Sun) 4 Aug 2019 (W31),FC RB Salzburg (2),4-1,?,SV Mattersburg (2)
?,(Sun) 4 Aug 2019 (W31),SKN St. Pölten (2),2-2,?,SK Rapid Wien (2)
?,(Sat) 10 Aug 2019 (W32),FC Admira Wacker Mödling (3),0-1,?,LASK Linz (3)
?,(Sat) 10 Aug 2019 (W32),SK Rapid Wien (3),2-1,?,SCR Altach (3)
?,(Sat) 10 Aug 2019 (W32),FC RB Salzburg (3),5-2,?,Wolfsberger AC (3)
?,(Sun) 11 Aug 2019 (W32),TSV Hartberg (3),1-0,?,SK Sturm Graz (3)
?,(Sun) 11 Aug 2019 (W32),SV Mattersburg (3),1-5,?,FK Austria Wien (3)
?,(Sun) 11 Aug 2019 (W32),WSG Tirol (3),1-1,?,SKN St. Pölten (3)
?,(Sat) 17 Aug 2019 (W33),Wolfsberger AC (4),5-0,?,SV Mattersburg (4)
?,(Sat) 17 Aug 2019 (W33),LASK Linz (4),1-1,?,WSG Tirol (4)
?,(Sat) 17 Aug 2019 (W33),SKN St. Pölten (4),0-6,?,FC RB Salzburg (4)
?,(Sun) 18 Aug 2019 (W33),SCR Altach (4),3-3,?,TSV Hartberg (4)
?,(Sun) 18 Aug 2019 (W33),FK Austria Wien (4),1-1,?,FC Admira Wacker Mödling (4)
?,(Sun) 18 Aug 2019 (W33),SK Sturm Graz (4),0-1,?,SK Rapid Wien (4)
?,(Sat) 24 Aug 2019 (W34),Wolfsberger AC (5),5-2,?,SCR Altach (5)
?,(Sat) 24 Aug 2019 (W34),SV Mattersburg (5),0-1,?,SKN St. Pölten (5)
?,(Sat) 24 Aug 2019 (W34),SK Rapid Wien (5),1-2,?,LASK Linz (5)
?,(Sun) 25 Aug 2019 (W34),TSV Hartberg (5),2-2,?,FK Austria Wien (5)
?,(Sun) 25 Aug 2019 (W34),FC RB Salzburg (5),5-0,?,FC Admira Wacker Mödling (5)
?,(Sun) 25 Aug 2019 (W34),SK Sturm Graz (5),2-0,?,WSG Tirol (5)
?,(Sat) 31 Aug 2019 (W35),FC Admira Wacker Mödling (6),1-3,?,SV Mattersburg (6)
?,(Sat) 31 Aug 2019 (W35),LASK Linz (6),0-1,?,Wolfsberger AC (6)
?,(Sat) 31 Aug 2019 (W35),WSG Tirol (6),1-5,?,FC RB Salzburg (6)
?,(Sun) 1 Sep 2019 (W35),SCR Altach (6),1-2,?,SK Sturm Graz (6)
?,(Sun) 1 Sep 2019 (W35),FK Austria Wien (6),1-3,?,SK Rapid Wien (6)
?,(Sun) 1 Sep 2019 (W35),SKN St. Pölten (6),1-3,?,TSV Hartberg (6)
